,en,de,en_idiom,en_task,existing_task
274,After the last three big protests which linksunten supported with live news wires we want to share experiences and pass on what was learned .,"Nach den drei letzten großen Protesten , die linksunten mit einem Live-Ticker unterstützte , wollen wir Erfahrungen austauschen und Erlerntes weitervermitteln .",to pass on,translate English to German: After the last three big protests which linksunten supported with live news wires we want to share experiences and pass on what was learned .,"<pad> Nach den letzten drei großen Protesten, die Linksunten mit Live-Newswiren unterstützt haben, möchten wir Erfahrungen austauschen und das, was gelernt wurde, weitergeben.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
275,"This is why I hope that Parliament can see its way clear to agreeing to the new Commissioners being appointed on the basis of a simplified procedure in the transitional period , until a new Commission can be appointed with the full involvement of Parliament .","Ich hoffe deshalb , dass das Parlament sich dem Vorschlag anschließen wird , dass wir die neuen Kommissare in der Übergangsphase in einem vereinfachten Verfahren benennen , bis eine neue Kommission unter vollständiger Einbeziehung des Europäischen Parlaments eingesetzt werden kann .",to clear the way,"translate English to German: This is why I hope that Parliament can see its way clear to agreeing to the new Commissioners being appointed on the basis of a simplified procedure in the transitional period , until a new Commission can be appointed with the full involvement of Parliament .","<pad> Aus diesem Grund hoffe ich, dass das Parlament seinen Weg klar erkennen kann, um der Ernennung der neuen Kommissare auf der Grundlage eines vereinfachten Verfahrens in der Übergangsphase zuzustimmen, bis eine neue Kommission unter voller Beteiligung des Parlaments ernannt werden kann.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
276,If you are interested in the topic and have extra time could be a way to let you know as well as round a bit more money through the circuit Adsense .,"Wenn Sie sich f � r das Thema interessiert und haben mehr Zeit k � nnte ein Weg sein , damit Sie wissen so gut wie um ein bisschen mehr Geld durch die Schaltung Adsense .",to be in the know,translate English to German: If you are interested in the topic and have extra time could be a way to let you know as well as round a bit more money through the circuit Adsense .,"<pad> Wenn Sie an diesem Thema interessiert sind und zusätzliche Zeit haben könnte eine Möglichkeit sein, Sie zu informieren und ein wenig mehr Geld über die Schaltung Adsense zu runden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
277,"In a nutshell , the cost of our work to improve nuclear safety has been between EUR 750 and 850 million .","Folgende Zahlen mögen dazu dienen , auch in einer kurzen Zusammenfassung eine Vorstellung von den Kosten für die Förderung der nuklearen Sicherheit zu vermitteln : Für den Zeitraum , in dem wir tätig waren , handelt es sich um einen Betrag zwischen 750 und 850 Mio. Euro .",in a nutshell,"translate English to German: In a nutshell , the cost of our work to improve nuclear safety has been between EUR 750 and 850 million .","<pad> Kurzum gesagt, die Kosten unserer Arbeit zur Verbesserung der nuklearen Sicherheit betrugen zwischen 750 und 850 Millionen Euro.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
278,"So , Mr Fischler , the floor is yours .",Das Wort hat demzufolge Herr Fischler .,the floor is yours .,"translate English to German: So , Mr Fischler , the floor is yours .","<pad> Das Wort hat also, Herr Fischler, Ihr Wort.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
279,"Short and sweet : nothing dangling around at the bottom , plenty of room at the top for spades , etc .","Kurz und gut ! Unten baumelt nichts rum , oben ist Platz für Schaufel und mehr .",short and sweet,"translate English to German: Short and sweet : nothing dangling around at the bottom , plenty of room at the top for spades , etc .","<pad> Kurz und süß : nichts an der Unterseite, viel Platz an der Spitze für Spaziergänge, etc.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
280,The greenhouse gas CO2 is believed to be a major contribution to the global warming and emitted by all internal combustion engines - is proportionally reduced by Honda 's efficient OHV and OHC fuel consumption technologies .,"Vom Treibhausgas CO2 wird angenommen , dass es , ausgestoßen von allen Verbrennungsmotoren , die Temperatur auf der Erde erhöht . Die effizienten OHV und OHC Technologien helfen , diese Emmissionen zu reduzieren .",to be a gas,translate English to German: The greenhouse gas CO2 is believed to be a major contribution to the global warming and emitted by all internal combustion engines - is proportionally reduced by Honda 's efficient OHV and OHC fuel consumption technologies .,<pad> Das Treibhausgas CO2 wird als einen wichtigen Beitrag zur globalen Erwärmung angesehen und von allen Verbrennungsmotoren ausgegeben - wird durch die effizienten OHV- und OHC-Kraftstoffverbrauchstechnologien von Honda angemessen reduziert.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
281,Operator places the product on the belt and lets the PriorityPak  System go to work .,Der Benutzer legt einfach das Produkt auf das Band und lässt das PriorityPak  System arbeiten .,to go places,translate English to German: Operator places the product on the belt and lets the PriorityPak  System go to work .,<pad> Der Betreiber legt das Produkt auf den Gürtel und lässt das PriorityPak <unk> -System in Betrieb gehen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
284,We pass on the resulting cost benefit to our sales organizations .,Den daraus resultierenden Preisvorteil reichen wir an unsere Vertriebsorganisationen weiter .,to pass on,translate English to German: We pass on the resulting cost benefit to our sales organizations .,<pad> Wir geben den daraus resultierenden Kostenvorteil an unsere Vertriebsorganisationen weiter.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
285,"It will not be necessary to know the program in advance , since you will be guided step by step .","Ds ist nicht nötig , das Programm vorher zu kennen , denn seine Interface führt Ihnen .",to be in the know,"translate English to German: It will not be necessary to know the program in advance , since you will be guided step by step .","<pad> Es wird nicht notwendig sein, das Programm im Voraus kennen zu lernen, da Sie Schritt für Schritt geführt werden.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
287,They suggest that in some places it has been very difficult for them to go to school and that in some societies efforts have been made to establish schools that cater exclusively for the children of migrants .,"Diesen Studien ist zu entnehmen , dass den Kindern in einigen Fällen der Schulbesuch sehr schwer fällt , und dass in einigen Gegenden Vorstöße unternommen werden , Schulen ausschließlich für Migrantenkinder zu etablieren .",to go places,translate English to German: They suggest that in some places it has been very difficult for them to go to school and that in some societies efforts have been made to establish schools that cater exclusively for the children of migrants .,"<pad> Sie deuten darauf hin, dass es an einigen Orten für sie sehr schwierig war, zur Schule zu gehen und dass in einigen Gesellschaften Anstrengungen unternommen wurden, Schulen zu schaffen, die ausschließlich für die Kinder von Migranten geeignet sind.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
288,"We know that Mr Verschuren , who is now also there beside you , will certainly show the same commitment in tackling this dossier , and I would ask the Commissioner to pass on our congratulations to him and his colleagues .","Wir wissen , daß Herr Verschuren , der jetzt auf der anderen Seite sitzt , die schwierige Aufgabe , um die es hier geht , in jedem Fall mit dem gleichen Eifer erfüllen wird . Dazu möchte ich ihm und seinen Mitarbeitern über den Kommissar auch einmal ein Kompliment erteilen .",to pass on,"translate English to German: We know that Mr Verschuren , who is now also there beside you , will certainly show the same commitment in tackling this dossier , and I would ask the Commissioner to pass on our congratulations to him and his colleagues .","<pad> Wir wissen, dass Herr Verschuren, der jetzt auch neben Ihnen anwesend ist, sicherlich das gleiche Engagement bei der Behandlung dieses Dossiers zeigen wird, und ich bitte den Kommissar, ihm und seinen Kollegen unsere Glückwünsche zu übermitteln.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
289,"This will be my 3rd participation there and I know how it is to be in the lead , to finish the race or to retire .","Es wird nun mein 3.Rennen dort sein und ich weiß wie es ist zu führen , anzukommen und auch auszufallen .",to be in the know,"translate English to German: This will be my 3rd participation there and I know how it is to be in the lead , to finish the race or to retire .","<pad> Dies wird meine 3. Teilnahme dort sein, und ich weiß, wie es ist, an der Spitze zu sein, das Rennen zu beenden oder in den Ruhestand zu kommen.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
290,"Since your colleague has conveyed her request to you , ask her also to pass on to you the written reply I sent her . Ask her to give you all the relevant information .","Bitten sie Ihre Kollegin , wenn sie Ihnen schon ihr Gesuch übermittelt , daß sie Ihnen auch meine schriftliche Antwort übermittelt und Ihnen das vollständige Dossier überreicht .",to pass on,"translate English to German: Since your colleague has conveyed her request to you , ask her also to pass on to you the written reply I sent her . Ask her to give you all the relevant information .","<pad> Da Ihre Kollegin Ihnen ihre Bitte übermittelt hat, bitte sie auch, Ihnen die schriftliche Antwort zu übermitteln, die ich ihr übermittelt habe.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
291,"Based on extrapolation of growth trends , it looks safe to predict that prices will go up substantially in most of these places for another year or more , even as the rate of increase continues to decline .","Auf Grundlage von Hochrechungen der Wachstumstrends erscheint es sicher , dass die Preise in den meisten dieser Städte über ein weiteres Jahr oder länger noch beträchtlich steigen werden , selbst wenn die Steigerungsrate weiterhin sinkt .",to go places,"translate English to German: Based on extrapolation of growth trends , it looks safe to predict that prices will go up substantially in most of these places for another year or more , even as the rate of increase continues to decline .","<pad> Basierend auf der Extrapolierung der Wachstumstrends scheint es sicher zu prognostizieren, dass die Preise in den meisten dieser Orte für ein weiteres Jahr oder mehr erheblich steigen werden, auch wenn die Steigerungsrate weiter sinkt.</s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>"
