,en,de,en_task
435,It is not our aim to use or pass on personal data without permission and for purposes other than those stated at the time the data was collected .,Die Nutzung / Weitergabe von persönlichen Daten erfolgt nur zu den hier angegebenen oder zu den bei einer späteren Datenerhebung ausdrücklich erklärten Zwecken .,translate English to German: It is not our aim to use or pass on personal data without permission and for purposes other than those stated at the time the data was collected .
436,"As Liberals we would welcome one European patent in Europe , independently of the Convention , in other words without joining the Convention , thus ensuring that the European Parliament retains a democratic hold on the European patent and that European legislation can be adapted to the European patent .","Unserer Auffassung als Liberale zufolge wäre es sinnvoll , wenn Europa unabhängig von dem Übereinkommen ein einziges europäisches Patent einführte , also ohne Beitritt zu dem Übereinkommen , damit das Europäische Parlament seinen demokratischen Einfluss auf das europäische Patent wahrt und die EU-Rechtsvorschrift diesem Patent angepasst werden kann .","translate English to German: As Liberals we would welcome one European patent in Europe , independently of the Convention , in other words without joining the Convention , thus ensuring that the European Parliament retains a democratic hold on the European patent and that European legislation can be adapted to the European patent ."
437,"During the Nazi years , this grand building was set on fire , to be rebuilt only in the late 90 &apos;s .",Während der Nazizeit wurde das Parlament in Brand gesetzt und Ende der neunziger Jahre wiederaufgebaut .,"translate English to German: During the Nazi years , this grand building was set on fire , to be rebuilt only in the late 90 &apos;s ."
438,"My audience was , and this is striking in this day and age , attentive , interested , and also unperturbed .","Meine Zuhörer waren - und das ist heutzutage erstaunlich - aufmerksam , interessiert und auch ruhig .","translate English to German: My audience was , and this is striking in this day and age , attentive , interested , and also unperturbed ."
440,"As a long-timer with WST I can only say : keep on going , everything is great !","Als Alteingesessener kann ich nur sagen : Organisation tipp tip , bitte weiter so !","translate English to German: As a long-timer with WST I can only say : keep on going , everything is great !"
441,"I will , nevertheless , pass this on to the Bureau .",Ich werde das aber trotzdem dem Präsidium vortragen .,"translate English to German: I will , nevertheless , pass this on to the Bureau ."
442,"Let us simply clear everyone out of the buildings , lock the door , throw away the key and give that EUR 1.7 billion back to the citizens who have earned it with their own blood , sweat and tears .","Verlassen wir einfach alle die Gebäude , verschließen wir die Türen , werfen wir die Schlüssel weg und geben wir den Bürgerinnen und Bürgern die 1,7 Milliarden EUR zurück , die sie im Schweiße ihres Angesichts verdient haben .","translate English to German: Let us simply clear everyone out of the buildings , lock the door , throw away the key and give that EUR 1.7 billion back to the citizens who have earned it with their own blood , sweat and tears ."
444,We therefore need to transcend national differences and take the heat out of the debate in order to develop a humane and effective European immigration policy .,"Nationale Differenzen müssen deshalb überwunden und die Debatte muss versachlicht werden , um eine menschliche und wirksame europäische Einwanderungspolitik zu entwickeln .",translate English to German: We therefore need to transcend national differences and take the heat out of the debate in order to develop a humane and effective European immigration policy .
445,"Nobody can pass on all of their experience to others , and therefore nothing can be done without institutions .","Niemand kann alle seine Erfahrungen an andere weitergeben , und deshalb kann nichts ohne Institutionen getan werden . &quot;","translate English to German: Nobody can pass on all of their experience to others , and therefore nothing can be done without institutions ."
446,We NEVER pass personal data on to other companies .,Persönliche Daten werden von uns NICHT an andere Unternehmen weitergegeben .,translate English to German: We NEVER pass personal data on to other companies .
447,I do not know whether there are Members in the House from Germany who would be prepared to enter into a wager with me about whether presumptive German taxpayers would be supporting Opel in this way if such an important election were not taking place in ten days &apos; time .,"Ich weiß nicht , ob es hier Kolleginnen und Kollegen aus Deutschland gibt , die mit mir eine Wette eingehen würden , ob Opel in dieser Form durch den präsumtiven deutschen Steuerzahler gestützt worden wäre , wenn nicht in zehn Tagen ein so wichtiger Urnengang anstünde .",translate English to German: I do not know whether there are Members in the House from Germany who would be prepared to enter into a wager with me about whether presumptive German taxpayers would be supporting Opel in this way if such an important election were not taking place in ten days &apos; time .
448,"As a result , I am not in a position to pass an opinion on what might happen in the future and on the actions which Serbia might or might not take in relation to Kosovo .","Infolgedessen kann ich nicht dazu Stellung nehmen , was in Zukunft geschehen könnte und was Serbien in Bezug auf Kosovo unter Umständen unternehmen oder auch nicht unternehmen könnte .","translate English to German: As a result , I am not in a position to pass an opinion on what might happen in the future and on the actions which Serbia might or might not take in relation to Kosovo ."
